1	76	9.00	1.00
1	105	9.00	1.00
1	196	9.00	1.00
1	210	9.00	1.00
2	331	9.00	1.00
2	345	9.00	1.00
2	390	9.00	1.00
2	466	9.00	1.00
3	480	9.00	1.00
3	555	9.00	1.00
3	675	9.00	1.00
3	705	9.00	1.00
4	781	9.00	1.00
4	796	9.00	1.00
4	885	9.00	1.00
4	916	9.00	1.00
5	1005	9.00	1.00
5	1021	9.00	1.00
5	1111	9.00	1.00
5	1170	9.00	1.00
6	0	9.00	1.00
6	31	9.00	1.00
6	121	9.00	1.00
6	136	9.00	1.00
7	256	9.00	1.00
7	300	9.00	1.00
7	361	9.00	1.00
7	406	9.00	1.00
8	526	9.00	1.00
8	571	9.00	1.00
8	646	9.00	1.00
8	660	9.00	1.00
9	735	9.00	1.00
9	825	9.00	1.00
9	855	9.00	1.00
9	871	9.00	1.00
10	990	9.00	1.00
10	1036	9.00	1.00
10	1126	9.00	1.00
10	1185	9.00	1.00
11	15	9.00	1.00
11	61	9.00	1.00
11	180	9.00	1.00
11	225	9.00	1.00
12	241	9.00	1.00
12	270	9.00	1.00
12	420	9.00	1.00
12	435	9.00	1.00
13	511	9.00	1.00
13	540	9.00	1.00
13	601	9.00	1.00
13	691	9.00	1.00
14	721	9.00	1.00
14	766	9.00	1.00
14	840	9.00	1.00
14	931	9.00	1.00
15	1051	9.00	1.00
15	1066	9.00	1.00
15	1140	9.00	1.00
15	1156	9.00	1.00
16	45	9.00	1.00
16	91	9.00	1.00
16	151	9.00	1.00
16	165	9.00	1.00
17	285	9.00	1.00
17	316	9.00	1.00
17	375	9.00	1.00
17	451	9.00	1.00
18	496	9.00	1.00
18	585	9.00	1.00
18	616	9.00	1.00
18	630	9.00	1.00
19	750	9.00	1.00
19	810	9.00	1.00
19	901	9.00	1.00
19	945	9.00	1.00
20	960	9.00	1.00
20	975	9.00	1.00
20	1080	9.00	1.00
20	1096	9.00	1.00
