1	76	9.00	1.00
1	105	9.00	1.00
1	196	9.00	1.00
1	210	9.00	1.00
1	331	9.00	1.00
1	345	9.00	1.00
1	390	9.00	1.00
1	466	9.00	1.00
1	480	9.00	1.00
1	555	9.00	1.00
1	675	9.00	1.00
1	705	9.00	1.00
1	781	9.00	1.00
1	796	9.00	1.00
1	885	9.00	1.00
1	916	9.00	1.00
1	1005	9.00	1.00
1	1021	9.00	1.00
1	1111	9.00	1.00
1	1170	9.00	1.00
2	0	9.00	1.00
2	31	9.00	1.00
2	121	9.00	1.00
2	136	9.00	1.00
2	256	9.00	1.00
2	300	9.00	1.00
2	361	9.00	1.00
2	406	9.00	1.00
2	526	9.00	1.00
2	571	9.00	1.00
2	646	9.00	1.00
2	660	9.00	1.00
2	735	9.00	1.00
2	825	9.00	1.00
2	855	9.00	1.00
2	871	9.00	1.00
2	990	9.00	1.00
2	1036	9.00	1.00
2	1126	9.00	1.00
2	1185	9.00	1.00
3	15	9.00	1.00
3	61	9.00	1.00
3	180	9.00	1.00
3	225	9.00	1.00
3	241	9.00	1.00
3	270	9.00	1.00
3	420	9.00	1.00
3	435	9.00	1.00
3	511	9.00	1.00
3	540	9.00	1.00
3	601	9.00	1.00
3	691	9.00	1.00
3	721	9.00	1.00
3	766	9.00	1.00
3	840	9.00	1.00
3	931	9.00	1.00
3	1051	9.00	1.00
3	1066	9.00	1.00
3	1140	9.00	1.00
3	1156	9.00	1.00
4	45	9.00	1.00
4	91	9.00	1.00
4	151	9.00	1.00
4	165	9.00	1.00
4	285	9.00	1.00
4	316	9.00	1.00
4	375	9.00	1.00
4	451	9.00	1.00
4	496	9.00	1.00
4	585	9.00	1.00
4	616	9.00	1.00
4	630	9.00	1.00
4	750	9.00	1.00
4	810	9.00	1.00
4	901	9.00	1.00
4	945	9.00	1.00
4	960	9.00	1.00
4	975	9.00	1.00
4	1080	9.00	1.00
4	1096	9.00	1.00
